,Date,Sentiment,Open,Close,NextDayClose,Volume,MarketCap,NextDayChange,Change
1,1-Mar-17,1.1197411,15.85,17.35,19.03,"44,927,500","1,415,510,000",1.68,Increase
2,2-Mar-17,0.346666667,17.36,19.03,19.46,"83,627,100","1,550,750,000",0.43,Increase
3,3-Mar-17,0.566523605,19.04,19.46,18.62,"95,863,400","1,702,140,000",-0.84,Decrease
4,4-Mar-17,0.461538462,19.52,18.62,19.3,"27,341,900","1,745,140,000",0.68,Increase
5,5-Mar-17,0.063829787,18.5,19.3,19.61,"26,816,300","1,655,030,000",0.31,Increase
6,6-Mar-17,0.081081081,19.28,19.61,18.89,"32,432,700","1,725,360,000",-0.72,Decrease
7,7-Mar-17,0.391752577,19.58,18.89,16.65,"37,972,200","1,752,530,000",-2.24,Decrease
8,8-Mar-17,0.402597403,18.88,16.65,17.75,"44,304,600","1,690,760,000",1.1,Increase
9,9-Mar-17,0.158974359,16.64,17.75,19.33,"31,418,400","1,490,500,000",1.58,Increase
10,10-Mar-17,0.373134328,17.74,19.33,21.47,"87,506,800","1,589,640,000",2.14,Increase
11,11-Mar-17,0.562770563,19.37,21.47,23.44,"69,150,100","1,736,630,000",1.97,Increase
12,12-Mar-17,0.396103896,21.46,23.44,28.59,"74,628,900","1,924,660,000",5.15,Increase
13,13-Mar-17,0.27173913,23.5,28.59,28.65,"255,488,000","2,108,300,000",0.06,Increase
14,14-Mar-17,0.678111588,28.57,28.65,35.06,"101,797,000","2,563,700,000",6.41,Increase
15,15-Mar-17,0.539325843,28.65,35.06,46.35,"170,344,000","2,571,160,000",11.29,Increase
16,16-Mar-17,0.535971223,35.36,46.35,46.83,"454,418,000","3,174,750,000",0.48,Increase
17,17-Mar-17,0.456521739,45.93,46.83,34.16,"497,534,000","4,125,480,000",-12.67,Decrease
18,18-Mar-17,0.558951965,46.87,34.16,44.74,"262,180,000","4,211,830,000",10.58,Increase
19,19-Mar-17,0.365384615,35.53,44.74,43.39,"239,430,000","3,193,600,000",-1.35,Decrease
20,20-Mar-17,0.362162162,44.83,43.39,43.15,"154,701,000","4,031,270,000",-0.24,Decrease
21,21-Mar-17,0.165,43.51,43.15,42.34,"91,265,400","3,913,620,000",-0.81,Decrease
22,22-Mar-17,0.527173913,43.12,42.34,43.68,"113,952,000","3,880,120,000",1.34,Increase
23,23-Mar-17,0.348837209,42.57,43.68,53.11,"100,724,000","3,831,310,000",9.43,Increase
24,24-Mar-17,0.03875969,43.64,53.11,51.25,"297,046,000","3,929,230,000",-1.86,Decrease
25,25-Mar-17,0.370044053,53.58,51.25,50.52,"223,059,000","4,825,700,000",-0.73,Decrease
26,26-Mar-17,0.596,50.77,50.52,49.67,"106,859,000","4,574,540,000",-0.85,Decrease
27,27-Mar-17,0.138888889,51.31,49.67,50.77,"118,978,000","4,624,990,000",1.1,Increase
28,28-Mar-17,0.86784141,49.71,50.77,53.13,"97,745,300","4,482,160,000",2.36,Increase
29,29-Mar-17,0.217391304,50.57,53.13,52.21,"144,998,000","4,561,150,000",-0.92,Decrease
30,30-Mar-17,0.426778243,53.12,52.21,50.04,"86,885,700","4,793,280,000",-2.17,Decrease
31,31-Mar-17,0.594713656,51.75,50.04,50.7,"151,416,000","4,671,190,000",0.66,Increase
