,Date,Sentiment,Open,Close,NextDayClose,Volume,MarketCap,NextDayChange,Change
1,8-Aug-15,0.17370892,2.79,0.753325,0.701897,"674,188","167,911,000",-0.051428,Decrease
2,9-Aug-15,0.289855072,0.706136,0.701897,0.708448,"532,170","42,637,600",0.006551,Increase
3,10-Aug-15,0.202380952,0.713989,0.708448,1.07,"405,283","43,130,000",0.361552,Increase
4,11-Aug-15,0.103806228,0.708087,1.07,1.22,"1,463,100","42,796,500",0.15,Increase
5,12-Aug-15,0.050505051,1.06,1.22,1.83,"2,150,620","64,018,400",0.61,Increase
6,13-Aug-15,1.298642534,1.22,1.83,1.83,"4,068,680","73,935,400",0,Same
7,14-Aug-15,0.53038674,1.81,1.83,1.69,"4,637,030","109,594,000",-0.14,Decrease
8,15-Aug-15,0.493333333,1.8,1.69,1.57,"2,554,360","109,160,000",-0.12,Decrease
9,16-Aug-15,0.054878049,1.68,1.57,1.2,"3,550,790","102,028,000",-0.37,Decrease
10,17-Aug-15,0.126506024,1.58,1.2,1.09,"1,942,830","95,819,700",-0.11,Decrease
11,18-Aug-15,0.263414634,1.22,1.09,1.26,"1,485,680","88,143,200",0.17,Increase
12,19-Aug-15,0.01618123,1.17,1.26,1.46,"1,486,240","84,663,900",0.2,Increase
13,20-Aug-15,0.251028807,1.25,1.46,1.4,"2,843,760","90,809,000",-0.06,Decrease
14,21-Aug-15,0.546583851,1.48,1.4,1.38,"2,020,970","107,266,000",-0.02,Decrease
15,22-Aug-15,0.272727273,1.4,1.38,1.35,"948,310","101,404,000",-0.03,Decrease
16,23-Aug-15,0.5,1.38,1.35,1.23,"1,589,300","99,894,500",-0.12,Decrease
17,24-Aug-15,0.278688525,1.35,1.23,1.14,"924,920","97,791,600",-0.09,Decrease
18,25-Aug-15,0.052356021,1.23,1.14,1.16,"1,307,180","89,321,900",0.02,Increase
19,26-Aug-15,0.43877551,1.13,1.16,1.15,"1,056,750","82,384,400",-0.01,Decrease
20,27-Aug-15,0.494318182,1.17,1.15,1.19,"686,662","85,106,100",0.04,Increase
21,28-Aug-15,2.409836066,1.15,1.19,1.18,"721,872","83,521,700",-0.01,Decrease
22,29-Aug-15,0.271604938,1.19,1.18,1.32,"375,377","86,887,600",0.14,Increase
23,30-Aug-15,0.052631579,1.18,1.32,1.36,"1,337,650","86,145,900",0.04,Increase
24,31-Aug-15,0.335106383,1.32,1.36,1.35,"1,447,180","96,251,000",-0.01,Decrease
25,1-Sep-15,0.120805369,1.35,1.35,1.29,"778,862","98,617,200",-0.06,Decrease
26,2-Sep-15,0.102102102,1.35,1.29,1.26,"883,769","98,504,600",-0.03,Decrease
27,3-Sep-15,0.625386997,1.3,1.26,1.27,"702,991","94,418,700",0.01,Increase
28,4-Sep-15,-0.515337423,1.26,1.27,1.34,"474,391","92,234,100",0.07,Increase
29,5-Sep-15,1.294303797,1.28,1.34,1.3,"448,453","93,402,300",-0.04,Decrease
30,6-Sep-15,0.636363636,1.34,1.3,1.25,"491,968","97,625,500",-0.05,Decrease
31,7-Sep-15,-0.06,1.3,1.25,1.24,"489,014","94,585,300",-0.01,Decrease
32,8-Sep-15,0.033444816,1.25,1.24,1.21,"427,892","91,020,700",-0.03,Decrease
33,9-Sep-15,0.592391304,1.24,1.21,1.17,"366,748","90,518,300",-0.04,Decrease
34,10-Sep-15,0.728813559,1.21,1.17,0.982978,"662,782","88,230,500",-0.187022,Decrease
35,11-Sep-15,0.220689655,1.16,0.982978,1.04,"1,942,600","85,144,300",0.057022,Increase
36,12-Sep-15,0.38225256,0.987228,1.04,0.936003,"772,430","72,179,000",-0.103997,Decrease
37,13-Sep-15,0.313868613,1.04,0.936003,0.875622,"644,138","76,193,600",-0.060381,Decrease
38,14-Sep-15,0.114649682,0.940566,0.875622,0.94441,"741,085","68,814,400",0.068788,Increase
39,15-Sep-15,0.351955307,0.875189,0.94441,0.907175,"703,390","64,052,400",-0.037235,Decrease
